year,tfr
2025,1.64
2026,1.64
2027,1.583
2028,1.575
2029,1.568
2030,1.561
2031,1.555
2032,1.549
2033,1.544
2034,1.54
2035,1.536
2036,1.534
2037,1.533
2038,1.532
2039,1.531
2040,1.531
2041,1.531
2042,1.531
2043,1.531
2044,1.53
2045,1.53
2046,1.53
2047,1.53
2048,1.53
2049,1.53
2050,1.531
2051,1.531
2052,1.531
2053,1.531
2054,1.531
2055,1.531
2056,1.531
2057,1.531
2058,1.531
2059,1.531
2060,1.531
2061,1.531
2062,1.531
2063,1.531
2064,1.531
2065,1.531
2066,1.532
2067,1.532
2068,1.532
2069,1.532
2070,1.533
2071,1.533
2072,1.533
2073,1.533
2074,1.533
2075,1.533
2076,1.534
2077,1.534
2078,1.534
2079,1.534
2080,1.534
2081,1.534
2082,1.535
2083,1.535
2084,1.535
2085,1.535
2086,1.535
2087,1.536
2088,1.536
2089,1.536
2090,1.536
2091,1.537
2092,1.537
2093,1.537
2094,1.537
2095,1.537
2096,1.537
2097,1.538
2098,1.538
2099,1.538
2100,1.538
