year,tfr
2025,1.64
2026,1.632
2027,1.631
2028,1.63
2029,1.629
2030,1.627
2031,1.627
2032,1.625
2033,1.624
2034,1.623
2035,1.622
2036,1.621
2037,1.62
2038,1.618
2039,1.617
2040,1.616
2041,1.615
2042,1.614
2043,1.612
2044,1.612
2045,1.61
2046,1.609
2047,1.608
2048,1.607
2049,1.606
2050,1.605
2051,1.603
2052,1.602
2053,1.601
2054,1.6
2055,1.599
2056,1.598
2057,1.36
2058,1.34
2059,1.33
2060,1.37
2061,1.38
2062,1.36
2063,1.39
2064,1.39
2065,1.41
2066,1.42
2067,1.47
2068,1.5
2069,1.6
2070,1.57
2071,1.57
2072,1.54
2073,1.53
2074,1.58
2075,1.455
2076,1.39
2077,1.39
2078,1.39
2079,1.39
2080,1.39
2081,1.39
2082,1.39
2083,1.39
2084,1.39
2085,1.39
2086,1.39
2087,1.39
2088,1.39
2089,1.39
2090,1.39
2091,1.39
2092,1.39
2093,1.39
2094,1.39
2095,1.39
2096,1.39
2097,1.39
2098,1.39
2099,1.39
2100,1.39
