year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.08,16.91,-3.83,3397.07,20095.6
2046,13.086,16.921,-3.835,3520.18,20809.0
2047,13.092,16.94,-3.848,3647.07,21535.63
2048,13.099,16.952,-3.853,3776.85,22285.84
2049,13.106,16.982,-3.876,3914.7000000000003,23059.78
2050,13.11,16.962,-3.852,4045.3700000000003,23855.51
2051,13.117,16.978,-3.861,4187.41,24671.33
2052,13.124,17.002,-3.878,4335.4800000000005,25507.39
2053,13.131,17.035,-3.904,4489.8,26364.12
2054,13.139,17.076,-3.937,4650.65,27242.1
2055,13.147,17.126,-3.979,4818.29,28141.63
2056,13.16,17.246,-4.086,5010.64,29061.82
2057,13.172,17.378,-4.206,5212.2,30003.24
2058,13.186,17.52,-4.334,5423.429999999999,30966.06
2059,13.2,17.672,-4.472,5644.73,31950.45
2060,13.215,17.84,-4.625,5877.33,32954.76
2061,13.231,18.017,-4.786,6119.92,33977.83
2062,13.247,18.21,-4.963,6375.13,35019.24
2063,13.265,18.42,-5.155,6643.54,36078.49
2064,13.283,18.646,-5.363,6925.7,37154.6
2065,13.302,18.889,-5.587,7222.18,38247.2
2066,13.32,19.074,-5.754,7504.959999999999,39358.39
2067,13.337,19.271,-5.934,7799.89,40487.25
2068,13.355,19.48,-6.125,8107.51,41632.81
2069,13.374,19.701,-6.327,8428.289999999999,42794.08
2070,13.384,19.748,-6.364,8709.34,44115.62
2071,13.394,19.791,-6.397,8996.07,45467.0
2072,13.403,19.84,-6.437,9292.09,46847.96
2073,13.413,19.895,-6.482,9597.84,48258.13
2074,13.424,19.954,-6.53,9913.83,49697.11
2075,13.435,20.023,-6.588,10241.05,51163.19
2076,13.453,20.214,-6.761,10640.81,52657.56
2077,13.471,20.413,-6.942,11056.84,54180.24
2078,13.49,20.623,-7.133,11489.8,55731.27
2079,13.511,20.841,-7.33,11940.47,57310.59
2080,13.53,21.051,-7.521,12402.78,58937.38
2081,13.546,21.209,-7.663,12851.1,60613.51
2082,13.563,21.357,-7.794,13309.710000000001,62340.85
2083,13.578,21.495,-7.917,13778.72,64121.37
2084,13.592,21.624,-8.032,14258.32,65957.08
2085,13.607,21.73,-8.123,14742.93,67866.17
2086,13.616,21.78,-8.164,15209.09,69851.61
2087,13.625,21.808,-8.183,15678.62,71916.38
2088,13.632,21.814,-8.182,16151.230000000001,74064.33
2089,13.638,21.793,-8.155,16624.579999999998,76305.36
2090,13.644,21.777,-8.133,17112.11,78604.35
2091,13.652,21.793,-8.141,17637.629999999997,80953.44
2092,13.658,21.783,-8.125,18164.089999999997,83409.99
2093,13.664,21.774,-8.11,18706.0,85935.27
2094,13.671,21.765,-8.094,19263.35,88532.93
2095,13.677,21.755,-8.078,19835.920000000002,91207.57
2096,13.685,21.761,-8.076,20441.48,93963.53
2097,13.692,21.766,-8.074,21063.86,96803.02
2098,13.699,21.77,-8.071,21703.96,99727.92
2099,13.706,21.773,-8.067,22362.78,102739.85
