year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.08,16.91,-3.83,3397.07,20095.6
2046,13.086,16.923,-3.837,3520.1499999999996,20807.26
2047,13.092,16.933,-3.841,3647.23,21544.8
2048,13.098,16.937,-3.839,3777.23,22308.39
2049,13.105,16.956,-3.851,3915.34,23098.17
2050,13.108,16.927,-3.819,4046.33,23912.06
2051,13.115,16.93,-3.815,4188.71,24748.82
2052,13.122,16.942,-3.82,4337.17,25608.22
2053,13.128,16.961,-3.833,4491.92,26490.9
2054,13.135,16.989,-3.854,4653.26,27397.28
2055,13.142,17.025,-3.883,4821.429999999999,28327.85
2056,13.154,17.129,-3.975,5014.32,29281.29
2057,13.166,17.246,-4.08,5216.44,30257.9
2058,13.179,17.372,-4.193,5428.25,31257.66
2059,13.192,17.508,-4.316,5650.17,32281.12
2060,13.206,17.659,-4.453,5883.42,33326.37
2061,13.221,17.819,-4.598,6126.69,34392.32
2062,13.236,17.995,-4.759,6382.6,35478.62
2063,13.254,18.187,-4.933,6651.7300000000005,36584.47
2064,13.271,18.395,-5.124,6934.66,37710.17
2065,13.289,18.619,-5.33,7231.950000000001,38854.34
2066,13.305,18.785,-5.48,7515.5199999999995,40019.69
2067,13.321,18.963,-5.642,7811.27,41205.55
2068,13.338,19.151,-5.813,8119.75,42411.28
2069,13.356,19.351,-5.995,8441.44,43636.31
2070,13.365,19.381,-6.016,8723.43,45025.17
2071,13.373,19.406,-6.033,9011.11,46447.85
2072,13.382,19.436,-6.054,9308.119999999999,47905.03
2073,13.39,19.471,-6.081,9614.93,49396.82
2074,13.4,19.51,-6.11,9932.050000000001,50923.29
2075,13.41,19.556,-6.146,10260.449999999999,52483.15
2076,13.426,19.721,-6.295,10661.61,54078.03
2077,13.445,19.938,-6.493,11077.14,55572.58
2078,13.466,20.169,-6.703,11509.449999999999,57082.83
2079,13.487,20.41,-6.923,11959.33,58613.56
2080,13.506,20.634,-7.128,12421.19,60214.54
2081,13.523,20.807,-7.284,12869.17,61870.29
2082,13.541,20.974,-7.433,13327.24,63563.02
2083,13.556,21.125,-7.569,13795.98,65327.63
2084,13.572,21.267,-7.695,14275.28,67146.36
2085,13.586,21.382,-7.796,14759.779999999999,69051.82
2086,13.596,21.439,-7.843,15226.039999999999,71039.82
2087,13.605,21.466,-7.861,15696.210000000001,73145.55
2088,13.611,21.463,-7.852,16169.84,75360.4
2089,13.616,21.414,-7.798,16645.45,77754.42
2090,13.621,21.375,-7.754,17134.99,80188.53
2091,13.626,21.364,-7.738,17660.18,82686.98
2092,13.634,21.367,-7.733,18203.9,85220.23
2093,13.64,21.379,-7.739,18766.23,87808.16
2094,13.648,21.382,-7.734,19347.87,90510.83
2095,13.657,21.416,-7.759,19945.94,93164.47
2096,13.668,21.483,-7.815,20579.46,95819.58
2097,13.68,21.553,-7.873,21232.59,98541.05
2098,13.691,21.626,-7.935,21906.35,101327.88
2099,13.703,21.701,-7.998,22601.449999999997,104180.04
