year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.956,15.674,-2.718,1619.54,10336.14
2026,12.983,16.244,-3.261,1691.3500000000001,10415.2
2027,13.001,16.562,-3.561,1760.0,10630.14
2028,13.018,16.828,-3.81,1821.93,10830.02
2029,13.035,17.098,-4.063,1877.8,10985.77
2030,13.054,17.398,-4.344,1931.76,11106.99
2031,13.073,17.704,-4.631,1985.1699999999998,11216.25
2032,13.091,17.993,-4.902,2037.55,11327.27
2033,13.109,18.277,-5.168,2089.64,11436.56
2034,13.127,18.554,-5.427,2138.88,11531.41
2035,13.143,18.757,-5.614,2210.77,11789.55
2036,13.155,18.897,-5.742,2276.65,12051.25
2037,13.172,19.113,-5.941,2353.2999999999997,12316.44
2038,13.191,19.377,-6.186,2437.85,12585.01
2039,13.213,19.677,-6.464,2529.07,12856.9
2040,13.234,19.968,-6.734,2621.11,13130.24
2041,13.253,20.231,-6.978,2711.15,13404.73
2042,13.272,20.473,-7.201,2799.89,13680.11
2043,13.286,20.625,-7.339,2877.61,13956.13
2044,13.3,20.763,-7.463,2953.9500000000003,14231.42
2045,13.312,20.873,-7.561,3027.67,14509.88
2046,13.325,20.979,-7.654,3102.86,14794.76
2047,13.337,21.082,-7.745,3179.3900000000003,15085.69
2048,13.349,21.176,-7.827,3256.25,15382.29
2049,13.363,21.288,-7.925,3337.84,15684.19
2050,13.375,21.38,-8.005,3417.52,15989.68
2051,13.39,21.511,-8.121,3504.7,16297.62
2052,13.405,21.651,-8.246,3594.6299999999997,16607.87
2053,13.42,21.799,-8.379,3687.4,16920.34
2054,13.437,21.957,-8.52,3783.12,17234.97
2055,13.453,22.123,-8.67,3881.87,17551.74
2056,13.475,22.379,-8.904,3997.79,17869.86
2057,13.498,22.646,-9.148,4117.93,18189.27
2058,13.523,22.927,-9.404,4242.43,18509.86
2059,13.547,23.221,-9.674,4371.48,18831.5
2060,13.564,23.364,-9.8,4473.49,19152.68
2061,13.581,23.515,-9.934,4577.639999999999,19472.75
2062,13.6,23.682,-10.082,4685.66,19791.26
2063,13.619,23.867,-10.248,4797.679999999999,20107.78
2064,13.64,24.068,-10.428,4913.7300000000005,20421.8
2065,13.662,24.287,-10.625,5033.89,20732.84
2066,13.685,24.525,-10.84,5158.68,21041.32
2067,13.709,24.776,-11.067,5287.35,21346.67
2068,13.734,25.044,-11.31,5419.97,21648.32
2069,13.76,25.328,-11.568,5556.71,21945.76
2070,13.775,25.408,-11.633,5668.7,22317.72
2071,13.789,25.487,-11.698,5781.16,22690.16
2072,13.805,25.574,-11.769,5896.29,23062.74
2073,13.82,25.671,-11.851,6014.21,23435.18
2074,13.837,25.778,-11.941,6135.08,23807.11
2075,13.855,25.897,-12.042,6259.35,24177.56
2076,13.869,25.978,-12.109,6374.88,24546.69
2077,13.884,26.071,-12.187,6493.47,24914.29
2078,13.901,26.175,-12.274,6615.19,25280.24
2079,13.918,26.291,-12.373,6740.1,25644.28
2080,13.947,26.584,-12.637,6913.71,26015.32
2081,13.971,26.812,-12.841,7074.78,26393.61
2082,13.995,27.032,-13.037,7236.79,26779.42
2083,14.019,27.241,-13.222,7399.75,27172.95
2084,14.041,27.438,-13.397,7563.59,27574.42
2085,14.062,27.608,-13.546,7725.2699999999995,27991.29
2086,14.078,27.706,-13.628,7872.6900000000005,28423.68
2087,14.093,27.777,-13.684,8017.280000000001,28872.25
2088,14.105,27.818,-13.713,8158.849999999999,29337.57
2089,14.116,27.827,-13.711,8296.279999999999,29822.75
2090,14.125,27.823,-13.698,8433.28,30318.87
2091,14.137,27.861,-13.724,8583.36,30817.31
2092,14.15,27.905,-13.755,8736.93,31319.05
2093,14.163,27.954,-13.791,8893.730000000001,31824.96
2094,14.176,28.007,-13.831,9053.52,32335.96
2095,14.189,28.061,-13.872,9216.050000000001,32852.84
2096,14.205,28.139,-13.934,9389.17,33376.39
2097,14.22,28.219,-13.999,9565.21,33906.83
2098,14.236,28.299,-14.063,9744.31,34444.38
2099,14.251,28.379,-14.128,9926.59,34989.12
