year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.08,16.913,-3.833,3397.0,20091.4
2046,13.087,16.926,-3.839,3520.08,20802.73
2047,13.092,16.935,-3.843,3647.1800000000003,21542.75
2048,13.098,16.935,-3.837,3777.29,22311.89
2049,13.104,16.948,-3.844,3915.54,23110.62
2050,13.108,16.91,-3.802,4046.75,23937.45
2051,13.114,16.904,-3.79,4189.42,24790.98
2052,13.12,16.904,-3.784,4338.2300000000005,25671.81
2053,13.125,16.91,-3.785,4493.44,26580.74
2054,13.132,16.922,-3.79,4655.3,27518.61
2055,13.138,16.94,-3.802,4824.089999999999,28486.3
2056,13.149,17.024,-3.875,5017.6900000000005,29482.92
2057,13.16,17.117,-3.957,5220.62,30509.29
2058,13.172,17.218,-4.046,5433.36,31566.22
2059,13.183,17.327,-4.144,5656.32,32654.44
2060,13.196,17.447,-4.251,5890.74,33772.58
2061,13.209,17.575,-4.366,6135.3099999999995,34920.16
2062,13.222,17.715,-4.493,6392.67,36097.38
2063,13.237,17.868,-4.631,6663.41,37304.44
2064,13.252,18.033,-4.781,6948.08,38541.54
2065,13.269,18.211,-4.942,7247.290000000001,39808.78
2066,13.282,18.33,-5.048,7532.9,41109.29
2067,13.295,18.456,-5.161,7830.88,42443.27
2068,13.31,18.589,-5.279,8141.76,43811.1
2069,13.324,18.73,-5.406,8466.05,45213.38
2070,13.329,18.706,-5.377,8750.869999999999,46795.88
2071,13.334,18.676,-5.342,9041.43,48425.26
2072,13.341,18.65,-5.309,9341.47,50102.83
2073,13.346,18.627,-5.281,9651.460000000001,51829.97
2074,13.352,18.607,-5.255,9971.93,53608.13
2075,13.358,18.593,-5.235,10303.88,55437.46
2076,13.369,18.688,-5.319,10709.1,57321.17
2077,13.382,18.788,-5.406,11130.960000000001,59261.26
2078,13.395,18.893,-5.498,11570.14,61259.88
2079,13.409,19.001,-5.592,12027.449999999999,63318.96
2080,13.421,19.096,-5.675,12496.83,65459.8
2081,13.43,19.143,-5.713,12952.81,67686.29
2082,13.439,19.176,-5.737,13419.58,70002.48
2083,13.447,19.198,-5.751,13897.3,72412.29
2084,13.454,19.208,-5.754,14386.14,74919.87
2085,13.46,19.196,-5.736,14880.58,77545.57
2086,13.462,19.133,-5.671,15358.08,80293.73
2087,13.464,19.051,-5.587,15839.69,83170.32
2088,13.464,18.948,-5.484,16325.19,86181.46
2089,13.462,18.824,-5.362,16812.27,89339.48
2090,13.461,18.692,-5.231,17308.47,92628.35
2091,13.461,18.592,-5.131,17846.89,96017.24
2092,13.461,18.505,-5.044,18409.02,99511.12
2093,13.463,18.427,-4.964,18995.170000000002,103115.52
2094,13.465,18.356,-4.891,19605.59,106835.99
2095,13.466,18.294,-4.828,20240.65,110678.35
2096,13.47,18.25,-4.78,20917.94,114648.52
2097,13.474,18.214,-4.74,21622.36,118751.07
2098,13.478,18.182,-4.704,22355.030000000002,122990.61
2099,13.483,18.155,-4.672,23117.23,127371.82
