year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.889,14.731,-1.842,1594.2399999999998,10825.33
2026,12.914,14.577,-1.663,1653.8999999999999,11349.01
2027,12.944,14.513,-1.569,1721.22,11863.8
2028,12.974,14.442,-1.468,1789.57,12395.36
2029,13.003,14.363,-1.36,1859.28,12948.54
2030,13.034,14.324,-1.29,1934.31,13508.6
2031,13.066,14.319,-1.253,2015.4499999999998,14079.59
2032,13.099,14.321,-1.222,2100.1099999999997,14668.98
2033,13.131,14.317,-1.186,2187.86,15285.5
2034,13.17,14.447,-1.277,2297.76,15909.06
2035,13.2,14.392,-1.192,2413.22,16773.61
2036,13.195,14.285,-1.09,2524.97,17680.8
2037,13.194,14.235,-1.041,2651.6,18632.45
2038,13.194,14.219,-1.025,2790.45,19630.48
2039,13.197,14.226,-1.029,2940.5099999999998,20676.82
2040,13.198,14.222,-1.024,3095.4399999999996,21770.83
2041,13.198,14.198,-1.0,3252.2999999999997,22913.89
2042,13.197,14.156,-0.959,3411.7299999999996,24107.63
2043,13.196,14.119,-0.923,3578.6600000000003,25353.76
2044,13.194,14.071,-0.877,3749.24,26652.07
2045,13.191,14.005,-0.814,3921.88,28011.49
2046,13.188,13.935,-0.747,4102.29,29448.26
2047,13.185,13.861,-0.676,4290.75,30965.98
2048,13.181,13.779,-0.598,4486.19,32568.35
2049,13.178,13.708,-0.53,4694.92,34259.1
2050,13.175,13.624,-0.449,4908.25,36039.33
2051,13.173,13.564,-0.391,5140.44,37909.25
2052,13.171,13.51,-0.339,5385.5,39873.04
2053,13.169,13.463,-0.294,5644.200000000001,41935.25
2054,13.168,13.422,-0.254,5917.21,44100.73
2055,13.168,13.385,-0.217,6205.3,46374.59
2056,13.172,13.426,-0.254,6544.55,48758.49
2057,13.178,13.476,-0.298,6905.24,51257.58
2058,13.182,13.532,-0.35,7288.650000000001,53877.27
2059,13.189,13.596,-0.407,7696.15,56623.17
2060,13.196,13.668,-0.472,8130.219999999999,59497.62
2061,13.203,13.747,-0.544,8590.26,62503.87
2062,13.21,13.837,-0.627,9080.81,65647.0
2063,13.219,13.936,-0.717,9603.689999999999,68932.38
2064,13.228,14.045,-0.817,10160.890000000001,72365.61
2065,13.238,14.164,-0.926,10754.369999999999,75952.56
2066,13.248,14.289,-1.041,11385.8,79706.67
2067,13.258,14.419,-1.161,12055.77,83635.24
2068,13.269,14.554,-1.285,12766.609999999999,87745.97
2069,13.28,14.693,-1.413,13520.76,92047.74
2070,13.283,14.708,-1.425,14235.45,96817.83
2071,13.286,14.716,-1.43,14979.84,101822.01
2072,13.289,14.725,-1.436,15761.34,107072.42
2073,13.291,14.733,-1.442,16582.1,112582.05
2074,13.294,14.742,-1.448,17444.47,118364.16
2075,13.297,14.753,-1.456,18351.77,124430.64
2076,13.299,14.75,-1.451,19287.37,130801.27
2077,13.301,14.747,-1.446,20270.06,137493.26
2078,13.302,14.744,-1.442,21302.28,144524.52
2079,13.304,14.74,-1.436,22386.670000000002,151913.88
2080,13.305,14.726,-1.421,23513.5,159721.24
2081,13.303,14.671,-1.368,24635.3,167972.5
2082,13.301,14.605,-1.304,25797.98,176695.01
2083,13.298,14.529,-1.231,27002.84,185917.07
2084,13.294,14.443,-1.149,28251.269999999997,195668.53
2085,13.288,14.34,-1.052,29533.68,206017.14
2086,13.281,14.201,-0.92,30806.43,216996.23
2087,13.272,14.048,-0.776,32111.370000000003,228645.44
2088,13.262,13.883,-0.621,33448.799999999996,241006.53
2089,13.252,13.703,-0.451,34814.990000000005,254137.58
2090,13.241,13.52,-0.279,36226.05,268031.24
2091,13.231,13.365,-0.134,37760.07,282615.46
2092,13.223,13.222,0.001,39381.82,297928.44
2093,13.216,13.091,0.125,41094.86,314011.33
2094,13.21,12.969,0.241,42902.8,330908.04
2095,13.203,12.855,0.348,44809.4,348665.06
2096,13.198,12.759,0.439,46856.659999999996,367331.95
2097,13.193,12.671,0.522,49015.36,386956.17
2098,13.189,12.588,0.601,51291.76,407586.93
2099,13.185,12.508,0.677,53678.06,429276.46
