year,income_rate,cost_rate,balance_rate
2025,12.896,14.92,-2.024
2026,12.901,14.982,-2.081
2027,12.91,15.102,-2.192
2028,12.919,15.208,-2.289
2029,12.929,15.341,-2.412
2030,12.941,15.517,-2.576
2031,12.955,15.711,-2.756
2032,12.967,15.908,-2.941
2033,12.979,16.104,-3.125
2034,12.995,16.354,-3.359
2035,13.002,16.387,-3.385
2036,13.006,16.363,-3.357
2037,13.013,16.403,-3.39
2038,13.022,16.481,-3.459
2039,13.033,16.586,-3.553
2040,13.043,16.681,-3.638
2041,13.051,16.751,-3.7
2042,13.059,16.8,-3.741
2043,13.067,16.854,-3.787
2044,13.074,16.895,-3.821
2045,13.08,16.916,-3.836
2046,13.087,16.934,-3.847
2047,13.093,16.95,-3.857
2048,13.099,16.958,-3.859
2049,13.106,16.982,-3.876
2050,13.11,16.958,-3.848
2051,13.116,16.965,-3.849
2052,13.123,16.981,-3.858
2053,13.13,17.004,-3.874
2054,13.137,17.036,-3.899
2055,13.145,17.075,-3.93
2056,13.157,17.184,-4.027
2057,13.169,17.303,-4.134
2058,13.182,17.433,-4.251
2059,13.195,17.573,-4.378
2060,13.209,17.727,-4.518
2061,13.225,17.891,-4.666
2062,13.24,18.071,-4.831
2063,13.257,18.266,-5.009
2064,13.275,18.477,-5.202
2065,13.293,18.705,-5.412
2066,13.31,18.875,-5.565
2067,13.326,19.055,-5.729
2068,13.343,19.247,-5.904
2069,13.362,19.451,-6.089
2070,13.37,19.484,-6.114
2071,13.379,19.512,-6.133
2072,13.388,19.545,-6.157
2073,13.397,19.584,-6.187
2074,13.406,19.626,-6.22
2075,13.417,19.676,-6.259
2076,13.433,19.845,-6.412
2077,13.45,20.022,-6.572
2078,13.468,20.207,-6.739
2079,13.486,20.399,-6.913
2080,13.503,20.58,-7.077
2081,13.519,20.712,-7.193
2082,13.533,20.832,-7.299
2083,13.546,20.942,-7.396
2084,13.56,21.041,-7.481
2085,13.571,21.117,-7.546
2086,13.579,21.139,-7.56
2087,13.586,21.14,-7.554
2088,13.592,21.118,-7.526
2089,13.595,21.072,-7.477
2090,13.598,21.006,-7.408
2091,13.602,20.971,-7.369
2092,13.608,20.945,-7.337
2093,13.614,20.925,-7.311
2094,13.619,20.909,-7.29
2095,13.625,20.896,-7.271
2096,13.632,20.902,-7.27
2097,13.64,20.911,-7.271
2098,13.646,20.921,-7.275
2099,13.655,20.932,-7.277
