year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.078,16.868,-3.79,3397.9700000000003,20150.16
2046,13.083,16.839,-3.756,3522.0499999999997,20922.46
2047,13.086,16.806,-3.72,3650.2200000000003,21725.45
2048,13.09,16.767,-3.677,3781.41,22559.41
2049,13.095,16.743,-3.648,3920.8,23424.56
2050,13.098,16.671,-3.573,4053.15,24319.24
2051,13.101,16.632,-3.531,4196.99,25241.85
2052,13.106,16.601,-3.495,4346.99,26192.89
2053,13.11,16.578,-3.468,4503.389999999999,27173.03
2054,13.115,16.562,-3.447,4666.469999999999,28182.94
2055,13.121,16.555,-3.434,4836.5,29223.43
2056,13.13,16.613,-3.483,5031.26,30293.43
2057,13.139,16.682,-3.543,5235.35,31393.6
2058,13.15,16.759,-3.609,5449.24,32524.59
2059,13.16,16.846,-3.686,5673.33,33686.92
2060,13.172,16.946,-3.774,5908.87,34879.21
2061,13.183,17.053,-3.87,6154.58,36100.94
2062,13.196,17.174,-3.978,6413.08,37352.44
2063,13.209,17.308,-4.099,6684.950000000001,38634.23
2064,13.224,17.455,-4.231,6970.77,39947.01
2065,13.238,17.615,-4.377,7271.14,41291.61
2066,13.25,17.717,-4.467,7557.849999999999,42671.99
2067,13.263,17.826,-4.563,7856.96,44089.46
2068,13.276,17.941,-4.665,8169.03,45545.28
2069,13.289,18.063,-4.774,8494.58,47041.0
2070,13.294,18.028,-4.734,8780.72,48723.06
2071,13.298,17.983,-4.685,9072.68,50463.93
2072,13.303,17.941,-4.638,9374.279999999999,52265.55
2073,13.307,17.9,-4.593,9685.990000000002,54129.69
2074,13.311,17.859,-4.548,10008.33,56057.83
2075,13.316,17.822,-4.506,10342.3,58050.21
2076,13.326,17.889,-4.563,10749.949999999999,60109.77
2077,13.337,17.959,-4.622,11174.380000000001,62238.08
2078,13.348,18.033,-4.685,11616.31,64436.52
2079,13.359,18.109,-4.75,12076.48,66706.33
2080,13.369,18.174,-4.805,12548.86,69067.8
2081,13.377,18.193,-4.816,13008.0,71523.94
2082,13.383,18.2,-4.817,13478.02,74077.75
2083,13.39,18.198,-4.808,13959.079999999998,76732.38
2084,13.395,18.186,-4.791,14451.34,79491.01
2085,13.4,18.154,-4.754,14949.24,82373.45
2086,13.401,18.077,-4.676,15430.69,85383.68
2087,13.402,17.985,-4.583,15916.36,88527.34
2088,13.401,17.875,-4.474,16406.010000000002,91810.73
2089,13.399,17.746,-4.347,16897.329999999998,95246.41
2090,13.404,17.739,-4.335,17480.92,98576.12
2091,13.412,17.758,-4.346,18108.78,102005.22
2092,13.42,17.782,-4.362,18761.95,105540.77
2093,13.427,17.81,-4.383,19440.370000000003,109190.36
2094,13.435,17.837,-4.402,20143.87,112962.35
2095,13.443,17.866,-4.423,20872.47,116865.17
2096,13.451,17.906,-4.455,21643.86,120907.27
2097,13.46,17.945,-4.485,22442.329999999998,125096.02
2098,13.468,17.982,-4.514,23268.75,129438.35
2099,13.477,18.016,-4.539,24124.02,133941.3
