year,income_rate,cost_rate,balance_rate,nominal_outlays_bn,nominal_taxable_payroll_bn
2025,12.896,14.92,-2.024,1589.1,10654.37
2026,12.901,14.982,-2.081,1643.68,10974.99
2027,12.91,15.102,-2.192,1704.17,11287.64
2028,12.919,15.208,-2.289,1765.32,11610.86
2029,12.929,15.341,-2.412,1827.5,11916.09
2030,12.941,15.517,-2.576,1894.61,12214.22
2031,12.955,15.711,-2.756,1967.26,12525.23
2032,12.967,15.908,-2.941,2042.88,12845.77
2033,12.979,16.104,-3.125,2121.06,13174.65
2034,12.995,16.354,-3.359,2206.56,13496.24
2035,13.002,16.387,-3.385,2295.57,14012.26
2036,13.006,16.363,-3.357,2379.29,14544.94
2037,13.013,16.403,-3.39,2475.19,15094.65
2038,13.022,16.481,-3.459,2580.4700000000003,15661.74
2039,13.033,16.586,-3.553,2693.9300000000003,16246.57
2040,13.043,16.681,-3.638,2809.53,16847.34
2041,13.051,16.751,-3.7,2924.42,17463.98
2042,13.059,16.8,-3.741,3039.2,18096.56
2043,13.067,16.854,-3.787,3158.23,18745.11
2044,13.074,16.895,-3.821,3277.96,19408.25
2045,13.08,16.913,-3.833,3397.0,20091.4
2046,13.086,16.925,-3.839,3520.1099999999997,20804.5
2047,13.092,16.931,-3.839,3647.28,21548.22
2048,13.097,16.927,-3.83,3777.4700000000003,22323.26
2049,13.104,16.935,-3.831,3915.87,23130.28
2050,13.107,16.892,-3.785,4047.27,23968.0
2051,13.112,16.877,-3.765,4190.16,24835.22
2052,13.118,16.868,-3.75,4339.26,25732.85
2053,13.123,16.863,-3.74,4494.8,26661.88
2054,13.129,16.864,-3.735,4657.0599999999995,27623.41
2055,13.135,16.869,-3.734,4826.32,28618.63
2056,13.145,16.939,-3.794,5020.43,29646.98
2057,13.155,17.016,-3.861,5223.96,30709.55
2058,13.166,17.1,-3.934,5437.37,31807.51
2059,13.177,17.19,-4.013,5661.07,32941.97
2060,13.189,17.29,-4.101,5896.299999999999,34111.93
2061,13.2,17.395,-4.195,6141.79,35317.22
2062,13.212,17.512,-4.3,6400.17,36558.5
2063,13.226,17.639,-4.413,6672.02,37836.39
2064,13.239,17.777,-4.538,6957.9400000000005,39151.58
2065,13.254,17.926,-4.672,7258.490000000001,40504.69
2066,13.265,18.014,-4.749,7545.5199999999995,41899.39
2067,13.277,18.108,-4.831,7845.04,43336.58
2068,13.29,18.207,-4.917,8157.59,44817.44
2069,13.302,18.311,-5.009,8483.69,46343.38
2070,13.305,18.254,-4.949,8770.46,48061.29
2071,13.309,18.191,-4.882,9063.039999999999,49834.99
2072,13.313,18.131,-4.818,9365.189999999999,51666.62
2073,13.316,18.075,-4.759,9677.41,53558.56
2074,13.32,18.019,-4.699,10000.240000000002,55513.28
2075,13.323,17.969,-4.646,10334.679999999998,57532.04
2076,13.334,18.024,-4.69,10742.76,59619.18
2077,13.343,18.082,-4.739,11167.68,61777.92
2078,13.354,18.143,-4.789,11610.14,64011.63
2079,13.364,18.205,-4.841,12070.949999999999,66323.7
2080,13.373,18.255,-4.882,12544.09,68736.67
2081,13.38,18.256,-4.876,13004.14,71255.84
2082,13.386,18.244,-4.858,13475.29,73886.59
2083,13.391,18.219,-4.828,13957.679999999998,76634.36
2084,13.395,18.183,-4.788,14451.529999999999,79504.85
2085,13.398,18.124,-4.726,14951.33,82519.86
2086,13.398,18.019,-4.621,15435.0,85685.31
2087,13.397,17.895,-4.498,15923.24,89008.74
2088,13.394,17.753,-4.359,16415.870000000003,92498.08
2089,13.39,17.589,-4.199,16910.59,96167.25
2090,13.386,17.42,-4.034,17414.97,100002.07
2091,13.383,17.284,-3.901,17964.73,103966.23
2092,13.381,17.163,-3.782,18541.55,108065.79
2093,13.38,17.053,-3.673,19146.0,112307.27
2094,13.379,16.953,-3.574,19778.620000000003,116697.4
2095,13.38,16.864,-3.484,20440.019999999997,121243.33
2096,13.381,16.795,-3.414,21147.87,125952.09
2097,13.383,16.735,-3.352,21887.52,130829.89
2098,13.386,16.682,-3.296,22660.47,135882.45
2099,13.388,16.635,-3.247,23468.33,141116.27
