year,age,birth,Total,child_1,child_2,child_3,child_4,child_5,child_6,child_7,child_8
2009,14,1995,3.3,3.3,0,0,0,0,0,0,0
2009,15,1994,9.5,9,0.5,0,0,0,0,0,0
2009,16,1993,19.8,18,1.7,0.1,0,0,0,0,0
2009,17,1992,35.5,30.4,4.6,0.5,0,0,0,0,0
2009,18,1991,55.4,43.9,9.8,1.5,0.2,0,0,0,0
2009,19,1990,73.7,52.9,16.9,3.4,0.5,0,0,0,0
2009,20,1989,86.7,54.8,24,6.3,1.3,0.2,0,0.1,0
2009,21,1988,93.4,51.1,29.7,9.6,2.3,0.5,0.1,0.1,0
2009,22,1987,96.7,46.5,32.9,12.7,3.6,0.8,0.2,0,0
2009,23,1986,99.8,43.6,34.6,15.2,4.8,1.2,0.3,0.1,0
2009,24,1985,102.5,42,35.3,17.2,5.9,1.6,0.4,0.1,0
2009,25,1984,106.3,41.6,35.9,18.9,6.9,2.1,0.6,0.2,0.1
2009,26,1983,109.6,41.6,36.4,20,7.8,2.6,0.8,0.3,0.1
2009,27,1982,111.5,41.2,36.6,20.7,8.5,3,1,0.3,0.2
2009,28,1981,111.9,40,36.8,21,9,3.3,1.2,0.4,0.2
2009,29,1980,111.5,38.3,37,21.2,9.3,3.5,1.4,0.5,0.3
2009,30,1979,110,35.8,37.1,21.3,9.6,3.7,1.5,0.6,0.4
2009,31,1978,105.9,32.2,36.3,21.2,9.6,3.8,1.6,0.7,0.5
2009,32,1977,98.9,27.8,34.4,20.5,9.4,3.8,1.6,0.8,0.6
2009,33,1976,89.7,23.4,31.3,19.3,9,3.6,1.6,0.8,0.7
2009,34,1975,79.5,19.7,27.3,17.7,8.4,3.5,1.5,0.7,0.7
2009,35,1974,68.9,16.4,23.1,15.7,7.6,3.2,1.4,0.7,0.8
2009,36,1973,57.6,13.3,18.9,13.3,6.5,2.8,1.3,0.7,0.8
2009,37,1972,46.6,10.4,15,10.7,5.5,2.4,1.2,0.6,0.8
2009,38,1971,36.6,8,11.6,8.4,4.4,2,1,0.5,0.7
2009,39,1970,28,6.2,8.7,6.3,3.4,1.6,0.8,0.4,0.6
2009,40,1969,20.7,4.5,6.2,4.5,2.6,1.3,0.6,0.4,0.6
2009,41,1968,14.3,3.2,4.1,3,1.8,0.9,0.5,0.3,0.5
2009,42,1967,9.3,2,2.6,1.9,1.2,0.6,0.4,0.2,0.4
2009,43,1966,5.5,1.2,1.5,1.1,0.7,0.4,0.2,0.1,0.3
2009,44,1965,3.1,0.7,0.8,0.6,0.4,0.2,0.1,0.1,0.2
