Year,Sex,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70,,
1981,1,37.37,57.14,74.16,86.48,90.19,91.38,90.6,89.42,86.19,78.24,56.42,26.89,12.34,,
1982,1,33.42,52.22,71.01,83.00,87.57,88.83,88.68,87.59,84.61,77.01,54.51,25.87,12.34,,
1983,1,32.37,53.39,71.29,82.87,86.71,88.33,88.69,87.35,83.52,75.86,53.49,24.97,12.34,,
1984,1,34.04,55.68,74.91,86.19,89.14,90.29,90.57,88.77,85.08,76.26,53.14,23.78,12.34,,
1985,1,35.24,56.58,75.33,87.14,89.79,90.51,90.25,88.87,84.58,76.10,53.23,23.61,12.34,,
1986,1,35.88,56.20,76.36,87.36,89.22,90.02,89.87,88.97,84.77,75.42,52.74,24.12,12.34,,
1987,1,36.40,56.62,76.82,88.05,89.89,90.54,90.28,89.00,84.59,76.73,52.91,25.11,12.34,,
1988,1,37.75,58.22,77.48,88.40,90.24,90.94,90.79,89.71,85.41,76.55,52.48,25.14,12.34,,
1989,1,37.59,59.20,77.67,88.67,91.12,90.88,91.12,89.61,86.45,76.70,53.02,25.42,12.34,,
1990,1,35.44,56.96,76.70,88.16,89.70,90.75,90.25,88.47,85.95,76.79,53.57,25.17,12.34,,
1991,1,31.95,53.23,73.77,86.27,87.86,88.72,89.16,87.72,84.13,75.15,52.49,24.16,12.34,,
1992,1,30.92,53.10,73.10,85.25,87.51,87.95,87.99,87.05,83.80,74.54,51.40,24.92,12.34,,
1993,1,32.08,52.90,73.86,85.99,87.76,88.08,88.25,87.12,83.49,74.16,51.32,24.48,12.34,,
1994,1,34.63,53.63,74.63,85.96,88.18,88.43,88.78,87.39,83.14,73.57,50.46,25.58,12.34,,
1995,1,34.68,55.35,75.48,87.13,89.16,88.33,88.36,87.58,83.38,74.56,51.28,25.75,12.34,,
1996,1,33.36,54.66,74.72,87.76,89.44,88.88,88.45,87.57,83.98,75.32,52.39,26.46,12.34,,
1997,1,33.48,54.07,75.25,87.95,90.01,89.51,88.86,87.99,85.04,76.28,52.71,27.45,12.34,,
1998,1,34.53,55.23,75.40,88.64,90.35,90.20,89.45,88.27,84.81,76.29,53.83,27.08,12.34,,
1999,1,34.70,55.85,75.62,88.99,90.78,90.68,89.68,87.92,84.74,76.31,53.29,27.51,12.34,,
2000,1,34.12,57.01,76.64,88.90,91.49,90.57,89.63,87.99,84.62,75.28,53.51,29.33,12.34,,
2001,1,30.94,53.80,74.23,87.32,90.08,89.47,88.94,87.34,83.81,74.80,54.58,29.29,12.34,,
2002,1,27.26,50.95,72.47,85.50,88.45,88.43,87.52,86.32,82.91,74.74,55.08,31.12,12.34,,
2003,1,25.52,47.48,71.55,84.39,87.79,88.18,86.83,85.20,82.30,74.16,54.51,31.40,12.34,,
2004,1,24.07,48.84,71.56,85.27,88.41,88.46,87.54,85.68,82.26,74.52,54.79,31.40,12.34,,
2005,1,23.91,48.32,71.47,85.79,88.97,88.99,88.39,86.14,82.99,74.97,56.22,32.46,13.02,,
2006,1,25.56,49.18,72.71,86.01,89.17,89.83,88.22,86.98,83.56,75.22,57.01,33.30,13.54,,
2007,1,23.47,46.22,71.66,86.50,89.36,89.98,88.56,86.98,83.74,75.27,57.32,33.12,13.56,,
2008,1,20.06,44.88,69.71,83.93,88.09,88.43,87.54,85.88,82.50,75.82,57.69,33.91,13.99,,
2009,1,17.22,37.68,63.31,78.36,82.72,84.45,83.08,81.45,79.03,72.42,56.55,33.56,13.94,,
2010,1,14.90,36.04,61.26,77.95,82.08,84.42,83.08,80.94,77.85,72.36,55.11,33.50,13.87,,
2011,1,14.46,35.65,62.95,78.27,82.92,84.83,83.60,81.42,78.17,72.79,54.75,34.77,14.48,,
2012,1,14.46,36.28,63.82,80.48,83.99,85.21,84.63,82.62,78.88,73.01,56.81,34.66,15.30,,
2013,1,15.45,36.85,63.55,80.12,84.80,85.43,85.57,82.31,79.07,73.60,57.08,35.02,15.10,,
2014,1,16.17,37.85,64.95,80.50,85.54,86.44,86.21,83.64,80.15,73.41,59.05,34.29,15.05,,
2015,1,17.75,39.76,65.16,82.03,85.94,86.55,86.90,84.81,80.84,74.01,59.12,35.40,15.19,,
2016,1,18.29,41.82,66.20,82.26,86.46,87.44,87.23,85.16,81.73,74.45,59.62,35.47,15.92,,
2017,1,19.25,40.97,67.89,83.00,86.61,87.91,87.64,85.79,81.87,75.62,60.38,35.96,15.98,,
2018,1,18.72,41.35,67.60,84.04,87.45,88.32,88.36,86.31,82.77,76.54,61.08,36.44,16.27,,
2019,1,19.72,41.69,68.25,83.99,87.69,88.73,88.20,86.46,83.64,77.04,62.02,38.25,16.60,,
2020,1,18.23,38.43,61.12,77.07,82.32,85.12,83.09,83.42,80.04,73.26,58.93,35.86,15.27,,
2021,1,21.69,42.74,65.54,80.49,84.30,86.05,85.04,84.92,81.24,74.38,60.62,35.94,14.95,,
2022,1,23.26,44.23,67.71,83.26,86.55,87.62,86.92,87.18,83.48,75.85,62.18,36.74,15.41,,
2023,1,22.84,43.67,67.80,84.21,87.31,88.27,88.03,87.36,84.13,76.59,62.23,38.53,16.43,,
2024,1,21.85,42.59,67.35,84.38,87.52,88.40,88.52,87.15,84.05,77.00,62.42,39.49,17.07,,
2025,1,20.55,41.51,66.81,84.08,87.49,88.32,88.39,86.93,83.94,76.96,62.28,39.76,17.10,,
2026,1,19.45,40.66,66.50,83.93,87.54,88.30,88.33,86.79,83.85,76.98,62.36,40.05,16.98,,
2027,1,18.61,40.06,66.37,83.90,87.67,88.32,88.34,86.73,83.81,76.96,62.43,40.37,16.89,,
2028,1,18.18,39.77,66.32,83.88,87.73,88.32,88.34,86.68,83.78,76.91,62.43,40.40,16.82,,
2029,1,18.18,39.75,66.32,83.86,87.71,88.31,88.33,86.63,83.74,76.84,62.53,40.75,16.70,,
2030,1,18.18,39.75,66.34,83.86,87.68,88.31,88.31,86.59,83.71,76.78,62.68,40.89,16.60,,
2031,1,18.18,39.75,66.34,83.81,87.60,88.28,88.28,86.53,83.62,76.84,62.79,40.85,16.52,,
2032,1,18.18,39.75,66.35,83.78,87.56,88.26,88.25,86.52,83.53,76.92,62.57,40.90,16.47,,
2033,1,18.18,39.75,66.36,83.79,87.56,88.27,88.22,86.54,83.48,76.88,62.33,41.03,16.32,,
2034,1,18.18,39.75,66.37,83.81,87.56,88.27,88.20,86.56,83.43,76.80,62.07,41.10,16.21,,
2035,1,18.18,39.75,66.38,83.83,87.56,88.25,88.21,86.58,83.40,76.78,61.96,41.16,16.11,,
2036,1,18.18,39.75,66.38,83.86,87.57,88.23,88.24,86.57,83.38,76.73,62.15,41.30,15.96,,
2037,1,18.18,39.75,66.39,83.89,87.58,88.23,88.26,86.55,83.40,76.70,62.29,41.00,15.84,,
2038,1,18.18,39.75,66.40,83.92,87.58,88.22,88.28,86.54,83.43,76.67,62.36,40.84,15.78,,
2039,1,18.18,39.75,66.40,83.94,87.60,88.23,88.27,86.55,83.45,76.65,62.32,40.79,15.77,,
2040,1,18.18,39.75,66.41,83.96,87.63,88.23,88.25,86.59,83.46,76.67,62.49,40.61,15.80,,
2041,1,18.18,39.75,66.41,83.96,87.67,88.25,88.22,86.63,83.44,76.68,62.53,40.61,15.86,,
2042,1,18.18,39.75,66.41,83.97,87.72,88.25,88.21,86.66,83.40,76.68,62.59,40.87,15.81,,
2043,1,18.18,39.75,66.41,83.97,87.75,88.25,88.20,86.67,83.37,76.72,62.58,40.90,15.77,,
2044,1,18.18,39.75,66.41,83.98,87.77,88.26,88.20,86.67,83.37,76.73,62.52,40.82,15.76,,
2045,1,18.18,39.75,66.41,83.99,87.79,88.28,88.21,86.64,83.39,76.76,62.56,41.01,15.77,,
2046,1,18.18,39.75,66.41,83.99,87.79,88.31,88.21,86.63,83.43,76.79,62.67,41.12,15.76,,
2047,1,18.18,39.75,66.41,84.00,87.78,88.35,88.20,86.62,83.46,76.81,62.73,41.19,15.81,,
2048,1,18.18,39.75,66.41,84.00,87.79,88.39,88.19,86.62,83.48,76.81,62.89,41.26,15.87,,
2049,1,18.18,39.75,66.41,84.00,87.80,88.42,88.19,86.63,83.47,76.78,62.95,41.32,15.94,,
2050,1,18.18,39.75,66.41,84.00,87.81,88.43,88.20,86.65,83.45,76.76,63.10,41.49,16.06,,
2051,1,18.18,39.75,66.42,83.99,87.82,88.42,88.23,86.65,83.44,76.72,63.25,41.63,16.18,,
2052,1,18.18,39.75,66.42,83.99,87.83,88.41,88.27,86.64,83.44,76.69,63.38,41.75,16.28,,
2053,1,18.18,39.75,66.42,83.99,87.84,88.41,88.30,86.63,83.44,76.66,63.47,41.93,16.38,,
2054,1,18.18,39.75,66.42,83.98,87.84,88.42,88.33,86.62,83.44,76.64,63.43,42.07,16.45,,
2055,1,18.18,39.75,66.42,83.98,87.84,88.44,88.34,86.63,83.46,76.63,63.38,42.27,16.56,,
2056,1,18.18,39.75,66.42,83.98,87.83,88.46,88.33,86.66,83.46,76.60,63.29,42.49,16.64,,
2057,1,18.18,39.75,66.43,83.98,87.82,88.48,88.32,86.70,83.44,76.58,63.22,42.69,16.72,,
2058,1,18.18,39.75,66.43,83.98,87.82,88.49,88.32,86.75,83.42,76.58,63.19,42.80,16.79,,
2059,1,18.18,39.75,66.43,83.99,87.82,88.51,88.33,86.79,83.40,76.58,63.22,42.81,16.89,,
2060,1,18.18,39.75,66.43,83.99,87.81,88.51,88.36,86.80,83.40,76.60,63.30,42.81,17.02,,
2061,1,18.18,39.75,66.43,83.99,87.81,88.50,88.39,86.80,83.42,76.64,63.35,42.78,17.12,,
2062,1,18.18,39.75,66.43,83.99,87.81,88.49,88.41,86.80,83.46,76.69,63.36,42.80,17.19,,
2063,1,18.18,39.75,66.43,83.99,87.81,88.48,88.44,86.80,83.51,76.74,63.39,42.85,17.23,,
2064,1,18.18,39.75,66.43,83.99,87.81,88.47,88.45,86.82,83.55,76.75,63.45,42.96,17.22,,
2065,1,18.18,39.75,66.43,83.99,87.81,88.47,88.46,86.86,83.56,76.76,63.51,43.10,17.2,,
2066,1,18.18,39.75,66.43,83.99,87.81,88.46,88.45,86.91,83.56,76.75,63.64,43.21,17.18,,
2067,1,18.18,39.75,66.43,83.99,87.81,88.46,88.43,86.95,83.56,76.74,63.80,43.27,17.18,,
2068,1,18.18,39.75,66.43,83.99,87.80,88.45,88.42,86.99,83.56,76.74,63.95,43.37,17.19,,
2069,1,18.18,39.75,66.43,83.99,87.80,88.45,88.40,87.03,83.58,76.76,64.04,43.48,17.2,,
2070,1,18.18,39.75,66.43,83.99,87.80,88.45,88.39,87.04,83.63,76.77,64.08,43.64,17.21,,
2071,1,18.18,39.75,66.43,83.99,87.80,88.45,88.39,87.03,83.67,76.78,64.05,43.85,17.23,,
2072,1,18.18,39.75,66.43,83.99,87.80,88.44,88.38,87.01,83.72,76.79,63.98,44.11,17.23,,
2073,1,18.18,39.75,66.43,83.99,87.79,88.44,88.37,86.99,83.77,76.79,63.95,44.36,17.24,,
2074,1,18.18,39.75,66.43,83.99,87.79,88.43,88.36,86.98,83.81,76.77,63.97,44.52,17.27,,
2075,1,18.18,39.75,66.43,83.99,87.79,88.42,88.36,86.98,83.83,76.74,64.01,44.60,17.3,,
2076,1,18.18,39.75,66.43,83.99,87.79,88.42,88.35,86.98,83.82,76.70,64.09,44.62,17.34,,
2077,1,18.18,39.75,66.43,83.99,87.79,88.41,88.34,86.97,83.79,76.69,64.12,44.62,17.39,,
2078,1,18.18,39.75,66.43,83.99,87.79,88.41,88.33,86.97,83.77,76.70,64.12,44.66,17.44,,
2079,1,18.18,39.75,66.43,83.99,87.79,88.41,88.32,86.96,83.75,76.70,64.06,44.77,17.45,,
2080,1,18.18,39.75,66.43,83.99,87.79,88.41,88.31,86.96,83.75,76.72,63.97,44.92,17.42,,
2081,1,18.18,39.75,66.43,83.99,87.80,88.40,88.30,86.96,83.75,76.73,63.85,45.05,17.38,,
