"famunit","age","sex","educ","labforce","employed","retired","incwage","incss"
1,21,"woman","some_college","yes","yes","no",1400,"NO"
2,21,"man","no_college","yes","yes","no",10000,"NO"
3,27,"man","no_college","no","no","no",0,"NO"
4,25,"man","college_plus","yes","yes","no",58000,"NO"
5,60,"woman","some_college","yes","yes","no",36500,"NO"
6,64,"woman","no_college","yes","yes","no",31500,"NO"
7,75,"man","no_college","no","no","no",0,"YES"
8,42,"man","some_college","yes","yes","no",32000,"NO"
9,49,"woman","some_college","no","no","no",0,"NO"
10,52,"man","no_college","yes","yes","no",35000,"NO"
11,84,"woman","some_college","no","no","no",0,"YES"
12,36,"man","college_plus","yes","yes","no",20000,"NO"
13,23,"man","no_college","yes","yes","no",7800,"NO"
14,52,"woman","no_college","no","no","no",0,"NO"
15,49,"man","no_college","yes","yes","no",60000,"NO"
16,29,"man","some_college","yes","yes","no",9000,"NO"
17,41,"man","some_college","yes","yes","no",52000,"NO"
18,46,"man","no_college","no","no","no",0,"NO"
19,26,"woman","college_plus","yes","yes","no",48000,"NO"
20,19,"man","some_college","no","no","no",3000,"NO"
21,85,"woman","no_college","no","no","no",0,"YES"
22,19,"woman","some_college","yes","yes","no",350,"NO"
23,81,"man","no_college","no","no","no",0,"YES"
24,27,"woman","college_plus","yes","yes","no",22000,"NO"
25,81,"woman","no_college","no","no","no",0,"YES"
26,55,"man","no_college","no","no","no",0,"YES"
27,20,"man","some_college","yes","yes","no",26000,"NO"
28,47,"man","no_college","no","no","no",0,"NO"
29,57,"woman","college_plus","no","no","no",0,"NO"
30,36,"man","no_college","yes","yes","no",3000,"NO"
31,50,"man","no_college","no","no","no",0,"YES"
32,42,"man","no_college","yes","yes","no",110000,"NO"
33,26,"man","college_plus","yes","yes","no",60000,"NO"
34,61,"woman","some_college","no","no","no",0,"NO"
35,43,"man","college_plus","yes","yes","no",60000,"YES"
36,67,"man","no_college","no","no","no",0,"YES"
37,18,"woman","no_college","no","no","no",0,"NO"
38,50,"woman","college_plus","yes","yes","no",120000,"NO"
39,57,"woman","college_plus","yes","yes","no",28000,"NO"
40,19,"man","some_college","no","no","no",0,"NO"
41,55,"man","some_college","yes","yes","no",36000,"NO"
42,27,"man","some_college","yes","yes","no",28000,"NO"
43,33,"woman","college_plus","yes","yes","no",52000,"NO"
44,42,"man","no_college","no","no","no",0,"NO"
45,67,"woman","no_college","no","no","no",0,"YES"
46,65,"woman","no_college","no","no","no",0,"YES"
47,24,"woman","some_college","yes","yes","no",14000,"NO"
48,85,"woman","no_college","no","no","no",0,"YES"
49,25,"man","college_plus","yes","yes","no",60000,"NO"
50,84,"woman","no_college","no","no","no",0,"YES"
51,67,"woman","some_college","yes","yes","no",21500,"YES"
52,21,"man","no_college","yes","yes","no",12000,"NO"
53,65,"man","no_college","no","no","no",0,"YES"
54,23,"woman","college_plus","no","no","no",0,"NO"
55,30,"woman","college_plus","yes","yes","no",52000,"NO"
56,22,"woman","college_plus","yes","yes","no",34000,"NO"
57,66,"woman","no_college","no","no","no",0,"YES"
58,65,"woman","some_college","no","no","no",0,"YES"
59,78,"man","no_college","no","no","no",0,"YES"
60,44,"man","no_college","yes","yes","no",180000,"NO"
61,93,"woman","no_college","no","no","no",0,"NO"
62,18,"man","no_college","no","no","no",1400,"NO"
63,78,"woman","no_college","no","no","no",0,"YES"
64,39,"man","no_college","no","no","no",0,"YES"
65,23,"man","no_college","yes","no","no",1000,"NO"
66,67,"woman","college_plus","no","no","no",0,"YES"
67,45,"woman","college_plus","yes","yes","no",75000,"NO"
68,63,"woman","no_college","no","no","no",0,"YES"
69,51,"man","no_college","yes","yes","no",950,"NO"
70,20,"woman","no_college","yes","yes","no",5000,"NO"
71,20,"woman","some_college","yes","yes","no",4000,"NO"
72,28,"man","some_college","yes","yes","no",15000,"NO"
73,52,"woman","no_college","yes","yes","no",8800,"NO"
74,52,"woman","college_plus","yes","yes","no",65000,"NO"
75,21,"woman","some_college","no","no","no",0,"NO"
76,29,"man","college_plus","yes","yes","no",30000,"NO"
77,55,"woman","college_plus","yes","yes","no",109000,"NO"
78,76,"man","some_college","no","no","no",0,"YES"
79,50,"man","no_college","yes","no","no",6000,"NO"
80,70,"woman","no_college","no","no","no",0,"YES"
81,39,"woman","no_college","yes","yes","no",5200,"NO"
82,76,"woman","no_college","no","no","no",0,"YES"
83,41,"woman","college_plus","yes","yes","no",82000,"NO"
84,28,"man","some_college","yes","yes","no",8000,"NO"
85,76,"woman","no_college","no","no","no",0,"YES"
86,80,"woman","no_college","no","no","no",0,"YES"
87,16,"woman","no_college","no","no","no",0,"NO"
88,86,"woman","no_college","no","no","no",0,"YES"
89,68,"woman","some_college","no","no","no",0,"YES"
90,71,"woman","no_college","no","no","no",0,"YES"
91,62,"woman","some_college","yes","yes","no",36000,"NO"
92,94,"woman","no_college","no","no","no",0,"YES"
93,50,"man","some_college","yes","yes","no",10000,"NO"
94,20,"man","some_college","yes","yes","no",3200,"NO"
95,85,"woman","no_college","no","no","no",0,"YES"
96,44,"man","college_plus","yes","yes","no",49000,"NO"
97,60,"man","no_college","yes","yes","no",24000,"NO"
98,40,"man","no_college","yes","yes","no",40000,"NO"
99,30,"woman","no_college","yes","yes","no",19000,"NO"
100,82,"man","no_college","no","no","no",0,"YES"
101,50,"man","no_college","no","no","no",40000,"NO"
102,52,"woman","some_college","yes","yes","no",47000,"NO"
103,86,"man","some_college","no","no","no",0,"YES"
104,23,"woman","college_plus","yes","yes","no",35000,"NO"
105,31,"man","no_college","yes","yes","no",35000,"NO"
