"REFYEAR","ALTERNATIVE","RT_CONTRIB_EE_OASDI","RT_CONTRIB_SE_OASDI","PRODUCTIVITY","PGDP","AVG_HOURS_WORKED","GROWTH_WAGE_NOMINAL","GROWTH_WAGE_REAL","UR","CHG_RGDP","INTRATE_NOMINAL","INTRATE_REAL","CPI_ADJ","AWI","TAXABLE_PAYROLL","NGDP","INTRATE_NEWISSUE_FACTOR","INTRATE_EFFECTIVE_FACTOR"
1937,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,0,3,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,0,3,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,0,3,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,0,4.5,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,0,4.5,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,0,5,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,0,6,4.5,1.82,1.36,-0.89,3.31,1.57,5.5,2.6,2.9,0.9,NA,NA,NA,NA,NA,NA
1961,0,6,4.5,3.27,1.07,-0.72,1.42,0.41,6.7,2.6,3.8,1.9,NA,NA,NA,NA,NA,NA
1962,0,6.25,4.7,3.51,1.22,0.74,4.68,3.65,5.6,6.1,3.9,2.8,NA,NA,NA,NA,NA,NA
1963,0,7.25,5.4,3.52,1.15,-0.58,2.89,1.55,5.6,4.4,3.9,2.5,NA,NA,NA,NA,NA,NA
1964,0,7.25,5.4,2.9,1.52,0.58,4.64,3.3,5.2,5.8,4.1,2.6,NA,NA,NA,NA,NA,NA
1965,0,7.25,5.4,2.97,1.83,0.97,2.51,0.89,4.5,6.5,4.2,2.5,NA,NA,NA,NA,NA,NA
1966,0,7.7,5.8,2.97,2.8,0.5,5.69,2.77,3.8,6.6,4.9,1.4,NA,NA,NA,NA,NA,NA
1967,0,7.8,5.9,1.6,2.9,-1.23,5.49,2.35,3.8,2.7,5,1.9,NA,NA,NA,NA,NA,NA
1968,0,7.6,5.8,3.06,4.26,-0.29,6.39,2.13,3.6,4.9,5.5,0.8,NA,NA,NA,NA,NA,NA
1969,0,8.4,6.3,0.66,4.91,0.01,6.73,1.23,3.5,3.1,6.6,0.1,NA,NA,NA,NA,NA,NA
1970,0,8.4,6.3,1.94,5.27,-2.3,4.94,-0.71,5,0.2,7.3,1,13.02,6186.24,404,1073,0.044,0.0358
1971,0,9.2,6.9,3.75,5.07,-0.81,4.71,0.34,6,3.3,6,2.9,13.58,6497.08,415,1165,0.0473,0.0377
1972,0,9.2,6.9,2.5,4.32,-0.24,7.27,3.71,5.6,5.3,5.9,2.5,14.05,7133.8,471,1279,0.0502,0.0397
1973,0,9.7,7,2.37,5.48,-0.1,6.85,0.63,4.9,5.6,6.6,-0.2,14.92,7580.16,546,1425,0.0532,0.0419
1974,0,9.9,7,-0.93,8.97,-1.47,7.4,-3.21,5.6,-0.5,7.5,-3.8,16.55,8030.76,620,1545,0.0568,0.0444
1975,0,9.9,7,2.72,9.29,-1.73,6.71,-2.17,8.5,-0.2,7.4,-1.3,18.06,8630.92,648,1685,0.0611,0.0472
1976,0,9.9,7,2.37,5.51,-0.31,8.49,2.61,7.7,5.4,7.1,1.7,19.09,9226.48,719,1873,0.0657,0.0504
1977,0,9.9,7,1.09,6.21,-0.08,6.74,0.26,7.1,4.6,7.1,0.8,20.32,9779.44,795,2082,0.0705,0.0538
1978,0,10.1,7.1,0.9,7.03,0.31,12.96,4.87,6.1,5.5,8.2,-0.5,21.89,10556.03,895,2352,0.0756,0.0576
1979,0,10.16,7.05,0.24,8.29,0.13,9.3,-1.92,5.9,3.2,9.1,-2.8,24.4,11479.46,1047,2627,0.0819,0.0619
1980,0,10.16,7.05,0.11,9.06,-0.86,7.04,-5.61,7.2,-0.3,11,-3.6,27.67,12513.46,1151,2857,0.0895,0.0668
1981,0,10.7,8,1.99,9.44,-0.57,9.97,-0.26,7.6,2.5,13.3,1,30.5,13773.1,1272,3207,0.0997,0.073
1982,0,10.8,8.05,-0.01,6.18,-0.99,6.77,0.71,9.7,-1.8,12.8,7.3,32.34,14531.34,1341,3344,0.1134,0.0807
1983,0,10.8,8.05,2.73,3.91,0.51,4.4,1.37,9.6,4.6,11,9.9,33.31,15239.24,1488,3634,0.1283,0.0895
1984,0,11.4,11.4,2.13,3.61,0.89,6.63,3.01,7.5,7.2,12.4,7.6,34.48,16135.07,1597,4038,0.1429,0.0995
1985,0,11.4,11.4,1.75,3.16,0.34,4.94,1.41,7.2,4.2,10.8,9,35.68,16822.51,1722,4339,0.1611,0.1109
1986,0,11.4,11.4,2.33,2.03,-1.11,4.88,3.24,7,3.5,8,9.3,36.24,17321.82,1841,4580,0.179,0.1232
1987,0,11.4,11.4,0.44,2.46,0.45,4.39,0.77,6.2,3.5,8.4,4.4,37.55,18426.51,1956,4855,0.1936,0.1363
1988,0,12.12,12.12,1.42,3.53,0.53,5.35,1.3,5.5,4.2,8.8,4.4,39.05,19334.04,2090,5236,0.2102,0.1498
1989,0,12.12,12.12,0.96,3.92,0.68,4.04,-0.71,5.3,3.7,8.7,4,40.92,20099.55,2235,5642,0.2291,0.1643
1990,0,12.4,12.4,1.52,3.76,-0.83,5.31,0.09,5.6,1.9,8.6,3.4,43.05,21027.98,2356,5963,0.2494,0.1799
1991,0,12.4,12.4,1.19,3.37,-0.36,2.88,-1.18,6.9,-0.1,8,4.5,44.82,21811.6,2420,6158,0.2713,0.1965
1992,0,12.4,12.4,3.6,2.28,-0.59,4.91,1.95,7.5,3.5,7.1,5.1,46.12,22935.42,2529,6520,0.2934,0.214
1993,0,12.4,12.4,0.44,2.37,0.94,1.95,-0.84,6.9,2.8,6.1,4.3,47.42,23132.67,2635,6859,0.3145,0.2323
1994,0,12.4,12.4,0.68,2.13,1.08,3.35,0.87,6.1,4,7.1,3.6,48.59,23753.53,2780,7287,0.3339,0.2513
1995,0,12.4,12.4,0.62,2.1,0.65,4.65,1.71,5.6,2.7,6.9,4.2,49.99,24705.66,2912,7640,0.3578,0.2712
1996,0,12.4,12.4,1.92,1.83,0.43,3.96,1.06,5.4,3.8,6.6,4,51.43,25913.9,3064,8073,0.3829,0.2922
1997,0,12.4,12.4,1.83,1.73,0.38,5.62,3.27,4.9,4.4,6.6,4.3,52.6,27426,3275,8578,0.4085,0.3143
1998,0,12.4,12.4,2.3,1.1,0.69,6.06,4.66,4.5,4.5,5.6,5.3,53.3,28861.44,3516,9063,0.4359,0.3375
1999,0,12.4,12.4,3,1.4,0.25,4.84,2.59,4.2,4.8,5.9,3.4,54.47,30469.84,3736,9631,0.4608,0.3614
2000,0,12.4,12.4,2.53,2.29,-0.98,6.08,2.5,4,4.1,6.2,2.4,56.37,32154.82,3992,10251,0.4882,0.3864
2001,0,12.4,12.4,2.14,2.3,-1.2,1.93,-0.78,4.7,1,5.2,3.5,57.9,32921.92,4158,10582,0.5191,0.4124
2002,0,12.4,12.4,3.04,1.5,-1.03,0.69,-0.69,5.8,1.7,4.9,3.9,58.7,33252.09,4238,10929,0.5466,0.4393
2003,0,12.4,12.4,3.32,2,-1.49,2.49,0.26,6,2.8,4.1,2.6,60.01,34064.95,4343,11456,0.5735,0.4666
2004,0,12.4,12.4,2.7,2.67,0.03,4.69,2.03,5.5,3.9,4.3,1.5,61.57,35648.55,4540,12217,0.5971,0.4938
2005,0,12.4,12.4,1.97,3.12,-0.23,3.69,0.16,5.1,3.5,4.3,0.8,63.74,36952.94,4747,13039,0.6229,0.5213
2006,0,12.4,12.4,0.85,3.11,0.07,4.72,1.48,4.6,2.8,4.8,1.1,65.78,38651.41,5023,13816,0.6501,0.5494
